CreditUnion,Link,Rates(30Years),BestRate
RuralCooperativesCreditUnionInc,https://mortgages.cumortgage.net/default.asp?siteId=5DAB2700-5983-4651-8191-9558A45EC05F,30YearFixed-5.875%|Jumbo30YearFixed-6.500%,30YearFixed-5.875%
RVAFinancialFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=86C225A0-F45B-4599-98BE-407785E1B4CA,15/15ARM1-5.250%|30YearFixed-5.875%|Jumbo30YearFixed-6.500%,15/15ARM1-5.250%
SkyPointFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=D1E51499-596F-4DBF-8696-1D31B17D3F72,15/15ARM1-5.375%|30YearFixed-6.000%|Jumbo30YearFixed-6.500%,15/15ARM1-5.375%
SouthernChautauquaFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=D02CB31D-FB78-48DA-91A3-6EE35B615553,30YearFixed-5.500%,30YearFixed-5.500%
SpencerportFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=F4DA0326-BC9D-4B94-9B11-BB59F370348D,30YearFixed-5.500%,30YearFixed-5.500%
SperoFinancialFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=A6F35BF1-FA80-4D92-8874-8DE6B62A2DEF,30YearFixed-5.875%|Jumbo30YearFixed-6.500%,30YearFixed-5.875%
StPiusXChurchFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=6AE36891-F1A9-4BED-A4AB-5240973FD582,None,None
StateDepartmentFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=7DE36F64-365C-40F2-875D-E50FA8826316,None,None
SteppingStonesCommunityFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=18B14B97-9A7A-44B2-AB4A-1D2D91F718CD,30YearFixed-5.500%|Jumbo30YearFixed-6.500%,30YearFixed-5.500%
StrategicFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=B5717843-89C1-4029-B372-31D3C94C8D94,30YearFixed-5.250%|Jumbo30YearFixed-6.250%,30YearFixed-5.250%
SusquehannaValleyFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=A516E5B9-95F7-4EAC-B684-41EE2BD3FBED,15/15ARM1-5.125%|30YearFixed-5.875%|Jumbo30YearFixed-6.500%,15/15ARM1-5.125%
TheUnitedMethodistCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=DE779FBE-48F1-49D7-8D6B-27BD26B78DBF,30YearFixed-5.500%|Jumbo30YearFixed-6.500%,30YearFixed-5.500%
tnConnectCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=ED8D61FF-25B2-499A-B522-0DD67B97C506,30YearFixed-5.500%|Jumbo30YearFixed-6.500%,30YearFixed-5.500%
TopsideFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=05F7A35B-0616-4B05-8A20-3218BAC44269,30YearFixed-5.875%|Jumbo30YearFixed-6.500%,30YearFixed-5.875%
TownofCheektowagaFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=26A749BA-1032-45FD-95DC-649839BA67D3,30YearFixed-5.500%,30YearFixed-5.500%
TransportationFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=5AA5A11D-011F-4B90-BFC9-C6EC5ACB5D2D,30YearFixed-5.875%|Jumbo30YearFixed-6.500%,30YearFixed-5.875%
TreasuryDepartmentFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=2E764D44-2AAC-4C72-B238-CF911BB2BA5B,30YearFixed-5.875%|Jumbo30YearFixed-6.500%,30YearFixed-5.875%
TruEnergyFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=E0A1C09F-DEFB-464C-92E7-16A293DC7F7A,15/15ARM1-4.875%|30YearFixed-5.500%|Jumbo30YearFixed-6.500%,15/15ARM1-4.875%
UHSEmployeesFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=1B09B25A-7AD3-4EBD-87F0-7581D9AA2EE8,30YearFixed-5.500%,30YearFixed-5.500%
USPostalServiceFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=BDC85A94-05B1-4714-9D96-2E384D7A519E,15/15ARM1-5.500%|30YearFixed-5.875%|Jumbo30YearFixed-6.500%,15/15ARM1-5.500%
USPostalServiceFederalCreditUnionRelo,https://mortgages.cumortgage.net/default.asp?siteId=84CAFCFD-2DF4-4356-8703-1EEA30C95E6A,30YearFixed-5.625%|Jumbo30YearFixed-6.250%,30YearFixed-5.625%
UlsterFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=AE5CACB2-455C-40C9-B572-DBD43C9AA592,30YearFixed-5.500%,30YearFixed-5.500%
UnitedLocalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=A8A9BE69-D1BD-4857-95AD-37A8CBAA1409,30YearFixed-5.500%|Jumbo30YearFixed-6.500%,30YearFixed-5.500%
UnitedStatesSenateFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=A47C14CE-61CF-41F6-927E-1AA49A077AE1,30YearFixed-5.875%|Jumbo30YearFixed-6.500%,30YearFixed-5.875%
UpstateFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=01EFA8F6-E8E4-44DA-936D-D6C4A7920D8D,30YearFixed-5.500%|Jumbo30YearFixed-6.500%,30YearFixed-5.500%
WeFloridaFinancial,https://mortgages.cumortgage.net/default.asp?siteId=508BB446-E215-4A57-BFEA-ECB927F7B263,30YearFixed-5.875%|Jumbo30YearFixed-6.500%,30YearFixed-5.875%
WSSCFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=18A8CFA4-0F83-4654-B330-9C0F13355BEC,30YearFixed-5.875%|Jumbo30YearFixed-6.500%,30YearFixed-5.875%
WVUEmployeesFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=459A15F3-37C0-424A-B113-71303DD0FCC3,30YearFixed-5.875%|Jumbo30YearFixed-6.500%,30YearFixed-5.875%
XCELFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=628B2A93-5DE7-4A8B-A0E3-08D0D9E28A58,30YearFixed-5.625%|Jumbo30YearFixed-6.750%,30YearFixed-5.625%
